,Times,Devices
0,2023-08-09 16:22:35.994455,1
1,2023-08-09 16:23:51.459206,1
2,2023-08-09 16:25:13.729206,1
3,2023-08-09 16:26:19.883278,2
4,2023-08-09 16:27:32.756995,2
5,2023-08-09 16:29:13.176995,2
6,2023-08-09 16:31:13.078704,3
7,2023-08-09 16:32:24.584455,3
8,2023-08-09 16:33:25.834455,4
9,2023-08-09 16:34:26.133589,4
10,2023-08-09 16:35:45.355500,4
11,2023-08-09 16:36:53.944455,4
12,2023-08-09 16:37:54.074455,5
13,2023-08-09 16:38:54.984455,5
14,2023-08-09 16:40:03.331805,5
15,2023-08-09 16:41:05.183467,5
16,2023-08-09 16:42:08.193467,6
17,2023-08-09 16:43:09.197087,6
18,2023-08-09 16:44:11.877087,6
19,2023-08-09 16:45:12.363467,6
20,2023-08-09 16:46:15.457087,7
21,2023-08-09 16:47:19.033467,7
22,2023-08-09 16:48:21.114102,7
23,2023-08-09 16:49:23.413467,7
24,2023-08-09 16:50:35.003467,8
25,2023-08-09 16:51:38.494455,8
26,2023-08-09 16:52:38.604203,8
27,2023-08-09 16:53:40.354619,9
28,2023-08-09 16:54:40.634430,9
29,2023-08-09 16:55:43.895854,9
30,2023-08-09 16:56:44.818329,9
31,2023-08-09 16:57:46.254102,10
32,2023-08-09 16:58:49.254430,10
33,2023-08-09 16:59:49.844754,10
34,2023-08-09 17:00:50.364430,10
35,2023-08-09 17:01:50.528329,11
36,2023-08-09 17:02:50.554203,11
37,2023-08-09 17:03:50.871660,11
38,2023-08-09 17:04:51.151660,11
39,2023-08-09 17:05:51.638329,12
40,2023-08-09 17:06:51.686052,12
41,2023-08-09 17:07:53.524455,12
42,2023-08-09 17:08:56.455992,12
43,2023-08-09 17:09:56.493819,13
44,2023-08-09 17:10:56.585992,13
45,2023-08-09 17:11:56.886262,13
